abafe;s.f.;abafar
abafei;s.f.;abafar
abafo;s.m.;abafar
abaixa;s.f.;abaixar
abaixado;adj.;abaixar
abaixados;s.m.pl.;abaixado
abaixados;s.m.pl.;abaixar
abaixam;s.m.;abaixar
abaixo;adv. interj.;abaixar
abala;s.m.;abalar
abalada;s.f.;abalado
abalada;s.f.;abalado
abalada;s.f.;abalar
abalado;adj.;abalar
abalai;s.f.;abalar
abalam;s.m.;abalar
abaliza;adj.;abalizar
abalizado;adj.;abalizar
abalizam;s.m.;abalizar
abalo;adj. s.m. "povo"; cf. abalo s.m., abalô e fl. do v. abalar;abalar
abalos;adj.; f. (ó); pl. (ó);abalo
abalroa;s.f.;abalroar
abalroada;s.f.;abalroar
abalroado;adj.;abalroar
abalroam;s.m.;abalroar
abana;s.f.;abanar
abanado;adj.;abanar
abanadora;s.f.;abanador
abanadora;s.f.;abanador
abanam;s.m.;abanar
abanando;s.m.;abanar
abandalha;s.f.;abandalhar
abandalhado;adj.;abandalhar
abandalham;s.m.;abandalhar
abandona;s.f.;abandonar
abandonado;adj. s.m.;abandonar
abandonam;s.m.;abandonar
abandono;s.m.;abandonar
abane;s.m.;abanar
abanei;adj. s.f. de abaneu;abanar
abanes;s.m.;abanar
abanico;s.m.;abanicar
abano;adj. s.m.;abanar
abarca;s.f.;abarcar
abarcado;adj.;abarcar
abarcam;s.m.;abarcar
abarcas;s.f.pl.;abarcar
abarque;adj.;abarcar
abarquei;adj.;abarcar
abarrota;adj.;abarrotar
abarrotado;adj.;abarrotar
abarrotam;s.m.;abarrotar
abas;s.m.;aba
abas;s.m.;abar
abasta;adj.;abastar
abastado;adj.;abastar
abastam;s.m.;abastar
abastarda;adj.;abastardar
abastardado;adj.;abastardar
abastardam;s.m.;abastardar
abastarde;adj.;abastardar
abastas;s.f.;abastar
abaste;s.m.;abar
abastece;s.m.;abastecer
abasteci;adj.;abastecer
abastecido;adj.;abastecer
abasto;s.m.;abastar
abastona;adj.;abastonar
abastonado;adj.;abastonar
abata;s.f.;abater
abatata;adj.;abatatar
abatatado;adj.;abatatar
abate;s.m.;abater
abati;s.m.;abater
abatia;s.f.; cf. abatia, fl. do v. abater;abater
abatida;s.f.;abatido
abatida;s.f.;abater
abatido;adj.;abater
abato;s.m.;abater
abaulado;adj.;abaular
abdica;s.f.;abdicar
abdicado;adj.;abdicar
abdicadora;adj. s.f. de abdicador (ô);abdicador
abdicadora;adj. s.f. de abdicador (ô);abdicador
abduz;adj.;abduzir
abduzido;adj.;abduzir
abeira;adj.;abeirar
abeirado;adj.;abeirar
abeiram;s.m.;abeirar
abeiro;adj. s.m.;abeirar
abelha;s.f.;abelhar
abelhas;;abelha
abelhas;;abelhar
abelhuda;adj.;abelhudo
abelhuda;adj.;abelhudo
abelhuda;adj.;abelhudar
abelhudo;adj. s.m.;abelhudar
aberra;s.f.;aberrar
aberrado;adj.;aberrar
aberre;v.;aberrar
aberro;v.;aberrar
aberta;s.f.;aberto
aberta;s.f.;aberto
aberta;s.f.;abrir
abertas;s.f.pl.;aberto
abertas;s.f.pl.;aberto
abertas;s.f.pl.;abrir
aberto;adj. s.m.;abrir
abertura;s.f.;aberturar
abesoira;adj.;abesoirar
abesoirado;adj.;abesoirar
abesoiro;s.m.;abesoirar
abesoura;adj.;abesourar
abesourado;adj.;abesourar
abesouro;s.m.;abesourar
abespinha;adj.;abespinhar
abespinhado;adj.;abespinhar
abespinham;s.m.;abespinhar
abetuma;adj.;abetumar
abetumado;adj.;abetumar
abisma;adj.;abismar
abismado;adj.;abismar
abismam;s.m.;abismar
abisme;adj. s.2g.;abismar
abismo;s.m.;abismar
abismos;adj.; f. (ó); pl. (ó);abismo
abjudica;s.f.;abjudicar
abjudicado;adj.;abjudicar
abjura;s.f.;abjurar
abjurado;adj.;abjurar
abjuram;s.m.;abjurar
abjurando;adj. s.m.;abjurar
